item,pc,npc,coord,categoria
Sabbat Inquisition Membership,Coordinator Approval,Coordinator Approval,Sabbat,Sabbat Inquisition Membership
Tal'Mahe'Ra,Disallowed,Coordinator Approval,Sabbat,Tal'Mahe'Ra
Joining the Tal'Mahe'Ra,Disallowed,Coordinator Approval,Sabbat,Tal'Mahe'Ra
Leaving the Tal'Mahe'Ra,Disallowed,Coordinator Approval,Sabbat,Tal'Mahe'Ra
Kashshaptu,Disallowed,Coordinator Approval,Sabbat,Tal'Mahe'Ra
Guarded Rubics,Disallowed,Coordinator Approval,Sabbat,Tal'Mahe'Ra
Former Tal'Mahe'Ra Chatterlings,Coordinator Approval,Coordinator Approval,Sabbat,Former Tal'Mahe'Ra Chatterlings
Consistory Membership,Disallowed,Coordinator Approval,Sabbat,Consistory Membership
Priscus,Coordinator Approval,Coordinator Approval,Sabbat,Priscus
An Assamite Character belonging to an Assamite Faction outside their listed Sect,Coordinator Approval,Coordinator Approval,Assamite,An Assamite Character belonging to an Assamite Faction outside their listed Sect
Assamite Loyalist Faction characters switching to Dispossessed,Coordinator Approval,Coordinator Approval,Assamite,Assamite Loyalist Faction characters switching to Dispossessed
Assamite PCs advancing to Rank 3,Coordinator Notify,Coordinator Notify,Assamite,Assamite PCs advancing to Rank 3
Other PC Assamite Ranks and Factions,Coordinator Approval,Coordinator Approval,Assamite,Other PC Assamite Ranks and Factions
Non-Assamites Converts to Clan Assamite,Coordinator Approval,Coordinator Approval,Assamite,Other PC Assamite Ranks and Factions
Assamite PCs starting at Rank greater than 1,Coordinator Approval,Coordinator Approval,Assamite,Other PC Assamite Ranks and Factions
Assamite PCs advancing to Rank 4 and 5,Coordinator Approval,Coordinator Approval,Assamite,Other PC Assamite Ranks and Factions
Other NPC Only Assamite Ranks and Factions,Disallowed,Coordinator Approval,Assamite,Other NPC Only Assamite Ranks and Factions
Ranks 6+,Disallowed,Coordinator Approval,Assamite,Other NPC Only Assamite Ranks and Factions
Assamite Antitribu - Ranks of the Unconquered,,,Assamite,Assamite Antitribu - Ranks of the Unconquered
Ustad,Coordinator Approval,Coordinator Notify,Assamite Antitribu - Ranks of the Unconquered,Ustad
Shumseea,Coordinator Approval,Coordinator Approval,Assamite Antitribu - Ranks of the Unconquered,Shumseea
Shakari,Coordinator Approval,Coordinator Approval,Assamite Antitribu - Ranks of the Unconquered,Shakari
Sultan,Coordinator Approval,Coordinator Approval,Assamite Antitribu - Ranks of the Unconquered,Sultan
Hulul,Disallowed,Coordinator Approval,Assamite Antitribu - Ranks of the Unconquered,Hulul
Salubri Upper Choir Ranks,Coordinator Approval,Coordinator Approval,Salubri,Salubri Upper Choir Ranks
Choir Rank: Ophanim,Coordinator Approval,Coordinator Approval,Salubri,Salubri Upper Choir Ranks
Choir Rank: Cherubim,Coordinator Approval,Coordinator Approval,Salubri,Salubri Upper Choir Ranks
Salubri Lower Choir Ranks,Coordinator Notify,Coordinator Notify,Salubri,Salubri Lower Choir Ranks
Choir Rank: Angel,Coordinator Notify,Coordinator Notify,Salubri,Salubri Lower Choir Ranks
Choir Rank: Archangel,Coordinator Notify,Coordinator Notify,Salubri,Salubri Lower Choir Ranks
Voice of Adonai,Coordinator Approval,Coordinator Approval,Salubri,Voice of Adonai
Face of Adonai,Coordinator Approval,Coordinator Approval,Salubri,Face of Adonai
Setite Clan Positions for PCs,Coordinator Approval,Coordinator Approval,Setite,Setite Clan Positions for PCs
Hierophant,Coordinator Approval,Coordinator Approval,Setite,Setite Clan Positions for PCs
Lieutenant,Coordinator Approval,Coordinator Approval,Setite,Setite Clan Positions for PCs
Captain,Coordinator Approval,Coordinator Approval,Setite,Setite Clan Positions for PCs
Characters possessing the discipline Bardo,Coordinator Approval,Coordinator Approval,Setite,Characters possessing the discipline Bardo
Ventrue Clan Positions & Titles,Coordinator Approval,Coordinator Approval,Ventrue,Ventrue Clan Positions & Titles
Directors / Ephors,Coordinator Approval,Coordinator Approval,Ventrue,Ventrue Clan Positions & Titles
Elders / Strategoi,Coordinator Approval,Coordinator Approval,Ventrue,Ventrue Clan Positions & Titles
Troubleshooters / Lictors,Coordinator Approval,Coordinator Approval,Ventrue,Ventrue Clan Positions & Titles
Agents at Large / Tribunes,Coordinator Approval,Coordinator Approval,Ventrue,Ventrue Clan Positions & Titles
Managers / Praetors,Coordinator Approval,Coordinator Approval,Ventrue,Ventrue Clan Positions & Titles
Ventrue Society and Order Membership (Lowest Tier),Coordinator Notify,Coordinator Notify,Ventrue,Ventrue Society and Order Membership (Lowest Tier)
Assembly of Colors,Coordinator Notify,Coordinator Notify,Ventrue,Ventrue Society and Order Membership (Lowest Tier)
White Cross,Coordinator Notify,Coordinator Notify,Ventrue,Ventrue Society and Order Membership (Lowest Tier)
Black Cross,Coordinator Notify,Coordinator Notify,Ventrue,Ventrue Society and Order Membership (Lowest Tier)
Knights of the Blood (Antitribu),Coordinator Notify,Coordinator Notify,Ventrue,Ventrue Society and Order Membership (Lowest Tier)
Sisterhood of Amastris,Coordinator Notify,Coordinator Notify,Ventrue,Ventrue Society and Order Membership (Lowest Tier)
Cult of Mithras This includes each individual level of Status in the Cult,Coordinator Notify,Coordinator Notify,Ventrue,Ventrue Society and Order Membership (Lowest Tier)
Ventrue Society and Order Membership,Coordinator Approval,Coordinator Approval,Ventrue,Ventrue Society and Order Membership
Ventrue Clan Prestige (Dignitas),Coordinator Approval,Coordinator Approval,Ventrue,Ventrue Clan Prestige (Dignitas)
Clan Prestige: Ventrue at level 4 or higher,Coordinator Approval,Coordinator Approval,Ventrue,Ventrue Clan Prestige (Dignitas)
Earning any of the following Dignitas Recognitions. Alph Laurel Crown Lineage Sovereign's Honor,Coordinator Approval,Coordinator Approval,Ventrue,Ventrue Clan Prestige (Dignitas)
Membership for Non-Camarilla Ventrue,Coordinator Approval,Coordinator Approval,Ventrue,Membership for Non-Camarilla Ventrue
"Membership for non-Ventrue, non-Main-Clan Ventrue, or Bloodlines",Coordinator Approval,Coordinator Approval,Ventrue,"Membership for non-Ventrue, non-Main-Clan Ventrue, or Bloodlines"
Rejoining the Directorate after Voluntarily Resigning or Being Cast Out,Coordinator Approval,Coordinator Approval,Ventrue,Rejoining the Directorate after Voluntarily Resigning or Being Cast Out
Courts of Blood,Coordinator Notify,Coordinator Notify,Lasombra,Courts of Blood
Friends of the Night,Coordinator Approval,Coordinator Notify,Lasombra,Friends of the Night
Membership in the Faction,Coordinator Approval,Coordinator Notify,Lasombra,Friends of the Night
Leaving the Friends of the Night,Coordinator Approval,Coordinator Notify,Lasombra,Friends of the Night
Priestesses of Ereshkighal,Coordinator Approval,Coordinator Approval,Lasombra,Priestesses of Ereshkighal
Victory Corps,Coordinator Approval,Coordinator Approval,Lasombra,Victory Corps
The Brotherhood of Rafazi,Coordinator Approval,Coordinator Approval,Lasombra,The Brotherhood of Rafazi
The Order of the Void,Coordinator Approval,Coordinator Approval,Lasombra,The Order of the Void
Lasombra Wangateurs,Coordinator Approval,Coordinator Approval,Setite & Lasombra,Lasombra Wangateurs
The Crusaders,Coordinator Notify,Coordinator Notify,Lasombra,The Crusaders
The Faithful,Coordinator Notify,Coordinator Notify,Lasombra,The Faithful
The Black Angels,Coordinator Notify,Coordinator Notify,Lasombra & Demon,The Black Angels
The Abyss's Children,Coordinator Notify,Coordinator Notify,Lasombra,The Abyss's Children
The Kings and Queens of Shadow,Coordinator Notify,Coordinator Notify,Lasombra,The Kings and Queens of Shadow
The Corsairs,Coordinator Notify,Coordinator Notify,Lasombra,The Corsairs
The Transhumanists,Coordinator Notify,Coordinator Notify,Lasombra,The Transhumanists
The Fatalists,Coordinator Notify,Coordinator Notify,Lasombra,The Fatalists
The Doomed,Coordinator Notify,Coordinator Notify,Lasombra,The Doomed
Mnemosyne Cult Membership for non-Jocastians,Coordinator Approval,Coordinator Approval,Malkavian,Mnemosyne Cult Membership for non-Jocastians
Mnemosyne Cult Membership for Jocastians,Disallowed,Disallowed,,Mnemosyne Cult Membership for Jocastians
Jocastians Cult Membership,Coordinator Approval,Coordinator Approval,Malkavian,Jocastians Cult Membership
"Camarilla Organizations, Societies, and Cults Monitored Membership",Coordinator Notify,Coordinator Notify,Camarilla,"Camarilla Organizations, Societies, and Cults Monitored Membership"
E Division Agent,Coordinator Notify,Coordinator Notify,Camarilla,"Camarilla Organizations, Societies, and Cults Monitored Membership"
M.U.T.E. Newb,Coordinator Notify,Coordinator Notify,Camarilla,"Camarilla Organizations, Societies, and Cults Monitored Membership"
Ivory Legion Milites,Coordinator Notify,Coordinator Notify,Camarilla,"Camarilla Organizations, Societies, and Cults Monitored Membership"
Elysian Knights membership,Coordinator Notify,Coordinator Notify,Camarilla,"Camarilla Organizations, Societies, and Cults Monitored Membership"
Compass Academy membership,Coordinator Notify,Coordinator Notify,Camarilla,"Camarilla Organizations, Societies, and Cults Monitored Membership"
Edenic Groundskeepers Rank 1,Coordinator Notify,Coordinator Notify,Camarilla,"Camarilla Organizations, Societies, and Cults Monitored Membership"
Phanuel's Call Alive (Grade 1),Coordinator Notify,Coordinator Notify,Camarilla,"Camarilla Organizations, Societies, and Cults Monitored Membership"
"Camarilla Organizations, Societies, and Cults Controlled Membership",Coordinator Approval,Coordinator Approval,Camarilla,"Camarilla Organizations, Societies, and Cults Controlled Membership"
Leaving a Camarilla Society,Coordinator Notify,Coordinator Notify,Camarilla,Leaving a Camarilla Society
Use of the Negative Domain Stature: Profane,Disallowed,Coordinator Approval,Camarilla and Clan Coordinator of the issuing Justicar,Use of the Negative Domain Stature: Profane
Giovanni Titles,Coordinator Approval,Coordinator Approval,Giovanni,Giovanni Titles
Prefect,Coordinator Approval,Coordinator Approval,Giovanni,Giovanni Titles
Arch Necromancer,Coordinator Approval,Coordinator Approval,Giovanni,Giovanni Titles
Director,Coordinator Approval,Coordinator Approval,Giovanni,Giovanni Titles
Anziani,Coordinator Approval,Coordinator Approval,Giovanni,Giovanni Titles
Ravnos Sub-Factions,Coordinator Approval,Coordinator Approval,Ravnos,Ravnos Sub-Factions
Sadhu,Coordinator Approval,Coordinator Approval,Ravnos,Ravnos Sub-Factions
Dakini,Coordinator Approval,Coordinator Approval,Ravnos,Ravnos Sub-Factions
Ravnos Antitribu Cults,Coordinator Approval,Coordinator Approval,Ravnos,Ravnos Antitribu Cults
The Phaedymites,Coordinator Approval,Coordinator Approval,Ravnos,Ravnos Antitribu Cults
Kahlil's Court,Coordinator Approval,Coordinator Approval,Ravnos,Ravnos Antitribu Cults
The Bashirites,Coordinator Approval,Coordinator Approval,Ravnos,Ravnos Antitribu Cults
Pyramid Ranks (Lower Tier),Unregulated,Coordinator Notify,Tremere,Pyramid Ranks (Lower Tier)
Acolyte,Unregulated,Coordinator Notify,Tremere,Pyramid Ranks (Lower Tier)
Apprentice,Unregulated,Coordinator Notify,Tremere,Pyramid Ranks (Lower Tier)
Regent,Unregulated,Coordinator Notify,Tremere,Pyramid Ranks (Lower Tier)
Tremere Pyramid Ranks (Mid-range Tier),Coordinator Approval,Coordinator Approval,Tremere,Tremere Pyramid Ranks (Mid-range Tier)
Magister,Coordinator Approval,Coordinator Approval,Tremere,Tremere Pyramid Ranks (Mid-range Tier)
Lord,Coordinator Approval,Coordinator Approval,Tremere,Tremere Pyramid Ranks (Mid-range Tier)
Tremere Pyramid Ranks (Highest Tier),Disallowed,Tremere Coordinator Controlled,Tremere,Tremere Pyramid Ranks (Highest Tier)
Pontifex,Disallowed,Tremere Coordinator Controlled,Tremere,Tremere Pyramid Ranks (Highest Tier)
Tremere Societies,Coordinator Approval,Coordinator Approval,Tremere,Tremere Societies
Societatis Virtus et Honos,Unregulated,Coordinator Approval,Tremere,Societatis Virtus et Honos
Eyes of the Serpent,Coordinator Approval,Coordinator Approval,Tremere & Setite,Eyes of the Serpent
Order of the Wyrm,Coordinator Approval,Coordinator Approval,Tremere & Demon,Order of the Wyrm
Horned Society,Coordinator Approval,Coordinator Approval,Tremere & Demon,Horned Society
Tremere Houses,Coordinator Approval,Coordinator Approval,Tremere,Tremere Houses
Giovanni in High Saturday,Coordinator Approval,Coordinator Approval,Tremere & Giovanni,Giovanni in High Saturday
Loyal Opposition (Constructionists and Reformers),Coordinator Approval,Coordinator Notify,Anarch,Loyal Opposition (Constructionists and Reformers)
Becoming a Page member of the Knight of Avalon Faction,Coordinator Notify,Coordinator Notify,Gangrel,Becoming a Page member of the Knight of Avalon Faction
Knight Commander rank,Coordinator Approval,Coordinator Approval,Gangrel,Knight Commander rank
Grand Warden rank,Coordinator Approval,Coordinator Approval,Gangrel,Grand Warden rank
Page or Squire rank leaving the Knights of Avalon Faction,Coordinator Notify,Coordinator Notify,Gangrel,Page or Squire rank leaving the Knights of Avalon Faction
Knight rank or above leaving the Knights of Avalon Faction,Coordinator Approval,Coordinator Approval,Gangrel,Knight rank or above leaving the Knights of Avalon Faction
Rom Samedji,Disallowed,Disallowed,Ravnos,Rom Samedji
Custom Assamite Poisons,Varies (See Below),Varies (See Below),Assamite,Custom Assamite Poisons
Created by an Assamite,Coordinator Notify,Coordinator Notify,Custom Assamite Poisons - PC: Varies (See Below) - NPC: Varies (See Below),Created by an Assamite
Created by a Non-Assamite,Disallowed,Disallowed,Custom Assamite Poisons - PC: Varies (See Below) - NPC: Varies (See Below),Created by a Non-Assamite
Reputation Merit,Coordinator Approval,Coordinator Notify,Sect Genre Coordinator (Camarilla or Anarch),Reputation Merit
Anarch Notoriety Flaw,Coordinator Notify,Coordinator Notify,Anarch,Anarch Notoriety Flaw
Additional Personal Status Merit,Majority Vote,Coordinator Approval,Camarilla,Additional Personal Status Merit
"Within 6 months, to regain Additional Personal Status",Coordinator Approval,Coordinator Approval,Camarilla,"Within 6 months, to regain Additional Personal Status"
"After 6 months, to gain a new Additional Personal Status",Majority Vote,Coordinator Approval,Camarilla,"After 6 months, to gain a new Additional Personal Status"
Dignitary Merit,Coordinator Notify,Coordinator Notify,Camarilla,Dignitary Merit
Luminary Merit,Coordinator Notify,Coordinator Notify,Camarilla,Luminary Merit
Prestigious Sire / Lineage Merit,Coordinator Approval,Coordinator Approval,Camarilla,Prestigious Sire / Lineage Merit
Sovereign Prince Merit,Coordinator Approval,Coordinator Approval,Camarilla,Sovereign Prince Merit
Clan Friendship,Coordinator Notify,Coordinator Notify,Varies; appropriate genre Coordinator(s),Clan Friendship
Clan Enmity,Coordinator Notify,Coordinator Notify,Varies; appropriate genre Coordinator(s),Clan Enmity
Dual-Blooded,Coordinator Approval,Coordinator Approval,Assamite,Dual-Blooded
Extinct Animal Form,Coordinator Approval,Coordinator Approval,Gangrel,Extinct Animal Form
Rune Wise,2/3 Majority Vote,Unregulated,Gangrel,Rune Wise
Clan Friendship: Ravnos,Coordinator Approval,Coordinator Approval,Ravnos,Clan Friendship: Ravnos
Family Allegiance (Ravnos),Coordinator Approval,Unregulated,Ravnos,Family Allegiance (Ravnos)
Renascut,Coordinator Approval,Coordinator Approval,Ravnos,Renascut
Merits or Flaws that Give Obeah In-Clan,Coordinator Approval,Coordinator Notify,Salubri,Merits or Flaws that Give Obeah In-Clan
Adonai's Disgrace,Coordinator Approval,Coordinator Notify,Salubri,Merits or Flaws that Give Obeah In-Clan
Healer's Heart,Coordinator Approval,Coordinator Notify,Salubri,Merits or Flaws that Give Obeah In-Clan
Any other non-listed,Coordinator Approval,Coordinator Notify,Salubri,Merits or Flaws that Give Obeah In-Clan
Blooding by the Code,Coordinator Approval,Coordinator Approval,Salubri,Blooding by the Code
Agent of Prophecy,Coordinator Approval,Coordinator Approval,Setite,Agent of Prophecy
Convert (Setite),Varies (See below),Varies (See below),Setite,Convert (Setite)
Children of Damballah,Coordinator Approval,Coordinator Notify,Convert (Setite) - PC: Varies (See below) - NPC: Varies (See below),Children of Damballah
Daitya,Coordinator Approval NPC: Coordinator Notify,,Convert (Setite) - PC: Varies (See below) - NPC: Varies (See below),Daitya
Tlacique,Coordinator Approval,Coordinator Approval,Convert (Setite) - PC: Varies (See below) - NPC: Varies (See below),Tlacique
Serpent of the Light,Coordinator Approval,Coordinator Notify,Convert (Setite) - PC: Varies (See below) - NPC: Varies (See below),Serpent of the Light
Setite,Coordinator Approval,Coordinator Notify,Convert (Setite) - PC: Varies (See below) - NPC: Varies (See below),Setite
Warrior Setite (bloodline),Disallowed,"Disallowed (as you can not be a Convert of ""just"" the bloodline)",Convert (Setite) - PC: Varies (See below) - NPC: Varies (See below),Warrior Setite (bloodline)
Walid Set,Coordinator Approval,Coordinator Approval,Convert (Setite) - PC: Varies (See below) - NPC: Varies (See below),Walid Set
Circle of Trust,Coordinator Approval,Coordinator Approval,Ravnos,Circle of Trust
Initiate (Setite),Varies (See Below),Varies (See Below),Setite,Initiate (Setite)
Children of Damballah,Coordinator Approval,Coordinator Notify,Initiate (Setite) - PC: Varies (See Below) - NPC: Varies (See Below),Children of Damballah
Gain Aupex,Coordinator Approval,Coordinator Notify,Initiate (Setite) - PC: Varies (See Below) - NPC: Varies (See Below),Children of Damballah
Daitya,Coordinator Approval,Coordinator Notify,Initiate (Setite) - PC: Varies (See Below) - NPC: Varies (See Below),Daitya
Gain Presence,Coordinator Approval,Coordinator Notify,Initiate (Setite) - PC: Varies (See Below) - NPC: Varies (See Below),Daitya
Tlacique,Coordinator Approval,Coordinator Approval,Initiate (Setite) - PC: Varies (See Below) - NPC: Varies (See Below),Tlacique
Warrior Setite (bloodline),Disallowed,"Disallowed (as you can not be an Initiate of ""just"" the bloodline)",Initiate (Setite) - PC: Varies (See Below) - NPC: Varies (See Below),Warrior Setite (bloodline)
Serpent of the Light,Coordinator approval,Coordinator Approval,Initiate (Setite) - PC: Varies (See Below) - NPC: Varies (See Below),Serpent of the Light
Gain Modern Serpentis,Coordinator approval,Coordinator Approval,Initiate (Setite) - PC: Varies (See Below) - NPC: Varies (See Below),Serpent of the Light
Setite,Coordinator Approval,Coordinator Notify,Initiate (Setite) - PC: Varies (See Below) - NPC: Varies (See Below),Setite
Gain Modern Serpentis,Coordinator Approval,Coordinator Notify,Initiate (Setite) - PC: Varies (See Below) - NPC: Varies (See Below),Setite
Walid Set,Coordinator Approval,Coordinator Approval,Initiate (Setite) - PC: Varies (See Below) - NPC: Varies (See Below),Walid Set
Gain Modern Serpentis,Coordinator Approval,Coordinator Approval,Initiate (Setite) - PC: Varies (See Below) - NPC: Varies (See Below),Walid Set
Nameless,Coordinator Approval,Coordinator Approval,Setite,Nameless
Postulate of Echidna,Coordinator Approval,Coordinator Approval,Setite,Postulate of Echidna
Marijava Contact,Coordinator Approval NPC: Coordinator Approval Coordinator: Assamite,,,Marijava Contact
Shakari Enemy,Coordinator Approval NPC: Coordinator Approval Coordinator: Assamite,,,Shakari Enemy
Connoisseur Merit for Non-Ventrue,Coordinator Approval,Coordinator Approval,Ventrue,Connoisseur Merit for Non-Ventrue
Blessed by St. Gustav Merit on any character other than Ventrue-Antitribu,Coordinator Approval,Coordinator Approval,Ventrue,Blessed by St. Gustav Merit on any character other than Ventrue-Antitribu
Assamite Un-Aging Merit,Disallowed,Disallowed,Assamite,Assamite Un-Aging Merit
Assamite Merits from V20,Coordinator Approval,,Assamite,Assamite Merits from V20
Sectarian Ally - Merit,Coordinator Approval,,Assamite,Assamite Merits from V20
Outcast - Flaw,Coordinator Approval,,Assamite,Assamite Merits from V20
Multiple Curses - Flaw,Coordinator Approval,,Assamite,Assamite Merits from V20
Clan Friendship: Brujah,Coordinator Approval,Coordinator Approval,Brujah,Clan Friendship: Brujah
Non Ravnos/Ravnos Anti with Antitoxin Blood,Coordinator Approval,Coordinator Approval,Ravnos,Non Ravnos/Ravnos Anti with Antitoxin Blood
True Celerity,Disallowed,Disallowed,Brujah,True Celerity
Descendant of Dracian,Coordinator Approval,Coordinator Approval,Ravnos,Descendant of Dracian
Non Ravnos with Dances with Knives,Coordinator Approval,Coordinator Approval,Ravnos,Non Ravnos with Dances with Knives
Vitae Mutation V20 Lore of the Bloodlines,Disallowed,Disallowed,N/A,Vitae Mutation V20 Lore of the Bloodlines
Clan Friendship: Malkavian,Coordinator Approval,Coordinator Approval,Malkavian,Clan Friendship: Malkavian
Harbinger of Skulls Merits from V20,Coordinator Approval,Coordinator Approval,Giovanni,Harbinger of Skulls Merits from V20
Styx Baptism,Coordinator Approval,Coordinator Approval,Giovanni,Harbinger of Skulls Merits from V20
Half Life,Coordinator Approval,Coordinator Approval,Giovanni,Harbinger of Skulls Merits from V20
Clan Friendship: Assamite,Disallowed,Coordinator Disallowed,Assamite,Clan Friendship: Assamite
Clan Friendship: Schismatic Assamites,Coordinator Approval,Coordinator Approval,Assamite,Clan Friendship: Schismatic Assamites
Clan Friendship: Loyalist Assamites,Coordinator Approval,Coordinator Approval,Assamite,Clan Friendship: Loyalist Assamites
Clan Friendship: Assamite Antitribu,Coordinator Approval,Coordinator Approval,Assamite,Clan Friendship: Assamite Antitribu
Dark Blooding,Coordinator Approval,Coordinator Approval,Salubri,Dark Blooding
Non-Dhampir with the Merit: Perceive Vampires,Disallowed,Disallowed,Anarch,Non-Dhampir with the Merit: Perceive Vampires
Dark Ages Gargoyle Merits/Flaws,Coordinator Approval,Coordinator Approval,Tremere,Dark Ages Gargoyle Merits/Flaws
Drabane,Coordinator Approval,Unregulated,Ravnos,Drabane
Connection to Dracian,Coordinator Approval,Unregulated,Ravnos,Connection to Dracian
Any Tremere with Tremere specific Merits/Flaws,Coordinator Approval,Coordinator Approval,Tremere,Any Tremere with Tremere specific Merits/Flaws
Exceptions for Standard (Camarilla) Tremere only,Storyteller Approval,Storyteller Approval,Tremere,Exceptions for Standard (Camarilla) Tremere only
Non-Tremere with Tremere specific merits/flaws,Coordinator Approval,Coordinator Approval,Tremere,Non-Tremere with Tremere specific merits/flaws
Non-Tremere with Tremere Clan Friendship,Coordinator Approval,Coordinator Approval,Tremere,Non-Tremere with Tremere Clan Friendship
Non-Toreador with the Following Merits,Coordinator Approval,Coordinator Approval,Toreador,Non-Toreador with the Following Merits
Blase,Coordinator Approval,Coordinator Approval,Toreador,Non-Toreador with the Following Merits
Greater Colors,Coordinator Approval,Coordinator Approval,Toreador,Non-Toreador with the Following Merits
Controllable Thirst,Coordinator Approval,Coordinator Approval,Toreador,Non-Toreador with the Following Merits
Refined,Coordinator Approval,Coordinator Approval,Toreador,Non-Toreador with the Following Merits
Touched by God,Coordinator Approval,Coordinator Approval,Toreador,Non-Toreador with the Following Merits
Clan Friendship: Toreador,Coordinator Approval,Coordinator Notify,Toreador,Clan Friendship: Toreador
Totemic Change for non-Gangrel,Coordinator Approval,Coordinator Notify,Gangrel,Totemic Change for non-Gangrel
Gift of Proteus for non-Gangrel,Disallowed,Disallowed,Gangrel,Gift of Proteus for non-Gangrel
Danava Ally,Coordinator Approval,Coordinator Approval,Ventrue & Ravnos,Danava Ally
Danave Ally Two Point version,Coordinator Approval,Coordinator Approval,Ventrue & Ravnos,Danava Ally
Danava Ally Four Point Version,Coordinator Approval,Coordinator Approval,Ventrue & Ravnos,Danava Ally
Danava Ally Six Point Version,Coordinator Approval,Coordinator Approval,Ventrue & Ravnos,Danava Ally
Merit: Clan Friendship: Giovanni (2 or 4 point versions),Coordinator Approval,Coordinator Approval,Giovanni,Merit: Clan Friendship: Giovanni (2 or 4 point versions)
Necromancy Apprentice (Source: Giovanni Necromancy Packet),Coordinator Approval,Unregulated,Giovanni,Necromancy Apprentice (Source: Giovanni Necromancy Packet)
Craft Anarch Poisons for Anarchs,Coordinator Approval,Coordinator Approval,Anarch,Craft Anarch Poisons for Anarchs
Craft Anarch Poisons for Non Anarchs,Disallowed,Disallowed,Anarch,Craft Anarch Poisons for Non Anarchs
Invoke Anarch Curses for Anarchs,Coordinator Approval,Coordinator Approval,Anarch,Invoke Anarch Curses for Anarchs
Invoke Anarch Curses for Non Anarchs,Disallowed,Disallowed,Anarch,Invoke Anarch Curses for Non Anarchs
Changed by the East,Coordinator Approval,Coordinator Approval,Ravnos,Changed by the East
Child (Vampire version),Disallowed,Coordinator Approval,Varies; Appropriate Vampire Sect Coordinator,Child (Vampire version)
Disciple of Deava/Chosen of Asura,Coordinator Approval,Coordinator Approval,Ravnos,Disciple of Deava/Chosen of Asura
Incantations,Coordinator Approval,Unregulated,Varies,Incantations
Non Sabbat Characters on Sabbat Paths of Enlightenment,Coordinator Approval,Coordinator Approval,Sabbat Coordinator and Appropriate Sect or Clan Coordinator for Independent,Non Sabbat Characters on Sabbat Paths of Enlightenment
Path of Feral Heart,Coordinator Approval,Coordinator Approval,Sabbat Coordinator and Appropriate Sect or Clan Coordinator for Independent,Non Sabbat Characters on Sabbat Paths of Enlightenment
Path of Caine,Coordinator Approval,Coordinator Approval,Sabbat Coordinator and Appropriate Sect or Clan Coordinator for Independent,Non Sabbat Characters on Sabbat Paths of Enlightenment
Path of Cathari,Coordinator Approval,Coordinator Approval,Sabbat Coordinator and Appropriate Sect or Clan Coordinator for Independent,Non Sabbat Characters on Sabbat Paths of Enlightenment
Path of Death and the Soul,Coordinator Approval,Coordinator Approval,Sabbat Coordinator and Appropriate Sect or Clan Coordinator for Independent,Non Sabbat Characters on Sabbat Paths of Enlightenment
Path of Honorable Accord,Coordinator Approval,Coordinator Approval,Sabbat Coordinator and Appropriate Sect or Clan Coordinator for Independent,Non Sabbat Characters on Sabbat Paths of Enlightenment
Path of Lilith,Coordinator Approval,Coordinator Approval,Sabbat Coordinator and Appropriate Sect or Clan Coordinator for Independent,Non Sabbat Characters on Sabbat Paths of Enlightenment
Path of Metamorphosis,Coordinator Approval,Coordinator Approval,Sabbat Coordinator and Appropriate Sect or Clan Coordinator for Independent,Non Sabbat Characters on Sabbat Paths of Enlightenment
Path of Night,Coordinator Approval,Coordinator Approval,Sabbat Coordinator and Appropriate Sect or Clan Coordinator for Independent,Non Sabbat Characters on Sabbat Paths of Enlightenment
Path of Orion,Coordinator Approval,Coordinator Approval,Sabbat Coordinator and Appropriate Sect or Clan Coordinator for Independent,Non Sabbat Characters on Sabbat Paths of Enlightenment
Path of Power and the Inner Voice,Coordinator Approval,Coordinator Approval,Sabbat Coordinator and Appropriate Sect or Clan Coordinator for Independent,Non Sabbat Characters on Sabbat Paths of Enlightenment
Path of Redemption,Coordinator Approval,Coordinator Approval,Sabbat Coordinator and Appropriate Sect or Clan Coordinator for Independent,Non Sabbat Characters on Sabbat Paths of Enlightenment
Camarilla Members on Path of Paradox,Coordinator Approval,Coordinator Approval,Camarilla and Ravnos,Camarilla Members on Path of Paradox
Non-Sabbat Gangrel on Sabbat Paths of Enlightenment,Coordinator Approval,Coordinator Approval,Gangrel and Sabbat,Non-Sabbat Gangrel on Sabbat Paths of Enlightenment
Path of Caine,Coordinator Approval,Coordinator Approval,Gangrel and Sabbat,Non-Sabbat Gangrel on Sabbat Paths of Enlightenment
Path of Honorable Accord,Coordinator Approval,Coordinator Approval,Gangrel and Sabbat,Non-Sabbat Gangrel on Sabbat Paths of Enlightenment
Path of Orion,Coordinator Approval,Coordinator Approval,Gangrel and Sabbat,Non-Sabbat Gangrel on Sabbat Paths of Enlightenment
Non-Assamites on Path of Blood,Coordinator Approval,Coordinator Approval,Assamite,Non-Assamites on Path of Blood
Gangrel Paths of Enlightenment,Coordinator Approval,Coordinator Approval,Gangrel,Gangrel Paths of Enlightenment
Gangrel,Coordinator Approval,Coordinator Approval,Gangrel,Gangrel
Path of Via Einherjar,Coordinator Approval,Coordinator Approval,Gangrel,Gangrel
Path of Via Aesirgard,Coordinator Approval,Coordinator Approval,Gangrel,Gangrel
Road of the Yasa,Coordinator Approval,Coordinator Approval,Gangrel,Gangrel
Non-Gangrel,Coordinator Notify,Coordinator Notify,Gangrel,Non-Gangrel
Path of the Grey Hunter,Coordinator Notify,Coordinator Notify,Gangrel,Non-Gangrel
